group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
transaction_scheduler,Unbounded,,,,107150688.0,ns,1
transaction_scheduler,Unbounded,,,,100581870.0,ns,1
transaction_scheduler,Unbounded,,,,102998397.0,ns,1
transaction_scheduler,Unbounded,,,,89466273.0,ns,1
transaction_scheduler,Unbounded,,,,103355664.0,ns,1
transaction_scheduler,Unbounded,,,,94819147.0,ns,1
transaction_scheduler,Unbounded,,,,97505315.0,ns,1
transaction_scheduler,Unbounded,,,,97455864.0,ns,1
transaction_scheduler,Unbounded,,,,101541694.0,ns,1
transaction_scheduler,Unbounded,,,,99441424.0,ns,1
transaction_scheduler,Unbounded,,,,105752832.0,ns,1
transaction_scheduler,Unbounded,,,,84001400.0,ns,1
transaction_scheduler,Unbounded,,,,81924122.0,ns,1
transaction_scheduler,Unbounded,,,,88926212.0,ns,1
transaction_scheduler,Unbounded,,,,87222157.0,ns,1
transaction_scheduler,Unbounded,,,,100405458.0,ns,1
transaction_scheduler,Unbounded,,,,83508486.0,ns,1
transaction_scheduler,Unbounded,,,,84973066.0,ns,1
transaction_scheduler,Unbounded,,,,93495710.0,ns,1
transaction_scheduler,Unbounded,,,,79989373.0,ns,1
transaction_scheduler,Unbounded,,,,92728179.0,ns,1
transaction_scheduler,Unbounded,,,,88781751.0,ns,1
transaction_scheduler,Unbounded,,,,85104521.0,ns,1
transaction_scheduler,Unbounded,,,,93308869.0,ns,1
transaction_scheduler,Unbounded,,,,84415919.0,ns,1
transaction_scheduler,Unbounded,,,,95596028.0,ns,1
transaction_scheduler,Unbounded,,,,86723043.0,ns,1
transaction_scheduler,Unbounded,,,,91308056.0,ns,1
transaction_scheduler,Unbounded,,,,83513938.0,ns,1
transaction_scheduler,Unbounded,,,,86696026.0,ns,1
transaction_scheduler,Unbounded,,,,96836325.0,ns,1
transaction_scheduler,Unbounded,,,,92227343.0,ns,1
transaction_scheduler,Unbounded,,,,98940426.0,ns,1
transaction_scheduler,Unbounded,,,,91510249.0,ns,1
transaction_scheduler,Unbounded,,,,94035304.0,ns,1
transaction_scheduler,Unbounded,,,,82591925.0,ns,1
transaction_scheduler,Unbounded,,,,85166713.0,ns,1
transaction_scheduler,Unbounded,,,,98335127.0,ns,1
transaction_scheduler,Unbounded,,,,89730130.0,ns,1
transaction_scheduler,Unbounded,,,,94988003.0,ns,1
transaction_scheduler,Unbounded,,,,79446478.0,ns,1
transaction_scheduler,Unbounded,,,,86614447.0,ns,1
transaction_scheduler,Unbounded,,,,90932701.0,ns,1
transaction_scheduler,Unbounded,,,,86871736.0,ns,1
transaction_scheduler,Unbounded,,,,96728144.0,ns,1
transaction_scheduler,Unbounded,,,,90859548.0,ns,1
transaction_scheduler,Unbounded,,,,86809964.0,ns,1
transaction_scheduler,Unbounded,,,,86134152.0,ns,1
transaction_scheduler,Unbounded,,,,79420139.0,ns,1
transaction_scheduler,Unbounded,,,,97259787.0,ns,1
transaction_scheduler,Unbounded,,,,115389612.0,ns,1
transaction_scheduler,Unbounded,,,,96328482.0,ns,1
transaction_scheduler,Unbounded,,,,81743017.0,ns,1
transaction_scheduler,Unbounded,,,,91596094.0,ns,1
transaction_scheduler,Unbounded,,,,79910123.0,ns,1
transaction_scheduler,Unbounded,,,,81566146.0,ns,1
transaction_scheduler,Unbounded,,,,94657621.0,ns,1
transaction_scheduler,Unbounded,,,,81299499.0,ns,1
transaction_scheduler,Unbounded,,,,89730005.0,ns,1
transaction_scheduler,Unbounded,,,,86305515.0,ns,1
transaction_scheduler,Unbounded,,,,84120716.0,ns,1
transaction_scheduler,Unbounded,,,,91390829.0,ns,1
transaction_scheduler,Unbounded,,,,86825152.0,ns,1
transaction_scheduler,Unbounded,,,,96891957.0,ns,1
transaction_scheduler,Unbounded,,,,95309532.0,ns,1
transaction_scheduler,Unbounded,,,,91791384.0,ns,1
transaction_scheduler,Unbounded,,,,90018086.0,ns,1
transaction_scheduler,Unbounded,,,,90977636.0,ns,1
transaction_scheduler,Unbounded,,,,96333152.0,ns,1
transaction_scheduler,Unbounded,,,,85969490.0,ns,1
transaction_scheduler,Unbounded,,,,97430794.0,ns,1
transaction_scheduler,Unbounded,,,,89066469.0,ns,1
transaction_scheduler,Unbounded,,,,87164814.0,ns,1
transaction_scheduler,Unbounded,,,,98187247.0,ns,1
transaction_scheduler,Unbounded,,,,95654949.0,ns,1
transaction_scheduler,Unbounded,,,,94127478.0,ns,1
transaction_scheduler,Unbounded,,,,94202741.0,ns,1
transaction_scheduler,Unbounded,,,,87136324.0,ns,1
transaction_scheduler,Unbounded,,,,79851053.0,ns,1
transaction_scheduler,Unbounded,,,,85791176.0,ns,1
transaction_scheduler,Unbounded,,,,92739955.0,ns,1
transaction_scheduler,Unbounded,,,,83144461.0,ns,1
transaction_scheduler,Unbounded,,,,101560977.0,ns,1
transaction_scheduler,Unbounded,,,,87117393.0,ns,1
transaction_scheduler,Unbounded,,,,98341632.0,ns,1
transaction_scheduler,Unbounded,,,,90295257.0,ns,1
transaction_scheduler,Unbounded,,,,91258560.0,ns,1
transaction_scheduler,Unbounded,,,,103553981.0,ns,1
transaction_scheduler,Unbounded,,,,93166581.0,ns,1
transaction_scheduler,Unbounded,,,,90370382.0,ns,1
transaction_scheduler,Unbounded,,,,83850434.0,ns,1
transaction_scheduler,Unbounded,,,,89733863.0,ns,1
transaction_scheduler,Unbounded,,,,88440293.0,ns,1
transaction_scheduler,Unbounded,,,,85060950.0,ns,1
transaction_scheduler,Unbounded,,,,91260707.0,ns,1
transaction_scheduler,Unbounded,,,,84274335.0,ns,1
transaction_scheduler,Unbounded,,,,97943082.0,ns,1
transaction_scheduler,Unbounded,,,,93325668.0,ns,1
transaction_scheduler,Unbounded,,,,103583840.0,ns,1
transaction_scheduler,Unbounded,,,,86386659.0,ns,1
